"Column_1","Column_2","Column_3"
-203.5221925287806,"2022-09-27 11:27:19","2022-09-27 11:27:19"
-203.52166656029428,"2022-09-27 11:27:49","2022-09-27 11:27:49"
-203.5214035760511,"2022-09-27 11:28:04","2022-09-27 11:28:04"
-203.5211231265387,"2022-09-27 11:28:20","2022-09-27 11:28:20"
-203.52086019394048,"2022-09-27 11:28:35","2022-09-27 11:28:35"
-203.52033434518034,"2022-09-27 11:29:05","2022-09-27 11:29:05"
-203.518493759418,"2022-09-27 11:30:50","2022-09-27 11:30:50"
-203.5177049369484,"2022-09-27 11:31:35","2022-09-27 11:31:35"
-203.51717648434766,"2022-09-27 11:32:05","2022-09-27 11:32:05"
-203.5169122660651,"2022-09-27 11:32:20","2022-09-27 11:32:20"
-203.51636623305632,"2022-09-27 11:32:51","2022-09-27 11:32:51"
-203.51583756704883,"2022-09-27 11:33:21","2022-09-27 11:33:21"
-203.51557324272136,"2022-09-27 11:33:36","2022-09-27 11:33:36"
-203.51477709395613,"2022-09-27 11:34:21","2022-09-27 11:34:21"
-203.51451171103437,"2022-09-27 11:34:36","2022-09-27 11:34:36"
-203.51422864887655,"2022-09-27 11:34:52","2022-09-27 11:34:52"
-203.51396325324353,"2022-09-27 11:35:07","2022-09-27 11:35:07"
-203.51343247817687,"2022-09-27 11:35:37","2022-09-27 11:35:37"
-203.51316707849475,"2022-09-27 11:35:52","2022-09-27 11:35:52"
-203.51263629537928,"2022-09-27 11:36:22","2022-09-27 11:36:22"
-203.51127395204958,"2022-09-27 11:37:39","2022-09-27 11:37:39"
-203.51021282975216,"2022-09-27 11:38:39","2022-09-27 11:38:39"
-203.50911633671151,"2022-09-27 11:39:41","2022-09-27 11:39:41"
-203.5085857755628,"2022-09-27 11:40:11","2022-09-27 11:40:11"
-203.5075246532654,"2022-09-27 11:41:11","2022-09-27 11:41:11"
-203.50672894404067,"2022-09-27 11:41:56","2022-09-27 11:41:56"
-203.50646366346632,"2022-09-27 11:42:11","2022-09-27 11:42:11"
-203.50593315179395,"2022-09-27 11:42:41","2022-09-27 11:42:41"
-203.50566789595777,"2022-09-27 11:42:56","2022-09-27 11:42:56"
-203.5051373842854,"2022-09-27 11:43:26","2022-09-27 11:43:26"
-203.50487213776367,"2022-09-27 11:43:41","2022-09-27 11:43:41"
-203.5043416260913,"2022-09-27 11:44:11","2022-09-27 11:44:11"
-203.50407637025512,"2022-09-27 11:44:26","2022-09-27 11:44:26"
-203.50354585858275,"2022-09-27 11:44:56","2022-09-27 11:44:56"
-203.50328063486253,"2022-09-27 11:45:11","2022-09-27 11:45:11"
-203.5030154024069,"2022-09-27 11:45:26","2022-09-27 11:45:26"
-203.50275017868668,"2022-09-27 11:45:41","2022-09-27 11:45:41"
