"Column_1","Column_2","Column_3"
"0xc91e6ec07666178b1c1d761848dc5039029ae872",2.0202239726055715E-5,"2022-09-27 11:15:42"
"0x1213a46dd9ad97338385c462a133dec6786cb685",1.9249327872523156E-5,"2022-09-27 11:25:33"
"0x464210fcc4c2a660dd21a18041badee10e8a260c",-1.9368859964721512E-5,"2022-09-27 11:35:07"
"0xfe57e89e484d5a209f247b32811d46cfb9864940",2.226121689363277E-5,"2022-09-27 11:43:41"
"0x6836da8b7d807506fb111343005e0fab401efed7",-2.087624161797773E-5,"2022-09-27 11:45:26"
"0x1a4b4fef9480134661678143d1c7b759cbee8ed7",2.0793151102489234E-5,"2022-09-27 11:45:56"
"0x6fcccb3469b18ceeb0e3fd5537ae6768c3183b37",1.9445163864583802E-5,"2022-09-27 11:49:13"
"0x81c58302ef10f692b05197cd4622d3037c345a03",1.9344026845927607E-5,"2022-09-27 11:49:43"
"0xe6ffd6af79cc225b0f6d0fe584968ab4b395ecde",2.589912404556733E-5,"2022-09-27 11:59:46"
"0x6c7e0706ef19504793f2f430e0b013a4a5b854a3",1.9377640997832718E-5,"2022-09-27 12:06:55"
"0x7f69eec4a308381e9d1a8a030c0d19b0bfe5ce16",1.9346928575241937E-5,"2022-09-27 12:12:01"
"0xb0e939b1feda50b1c5502d5ee4fa115c5efb0fa7",2.2768869480918643E-5,"2022-09-27 12:15:32"
"0x78fb8b2fd28c1f34cc6bc15813cacccc5d8c5454",1.935540937631786E-5,"2022-09-27 12:28:26"
"0xa8c1d7de150529942b35c11f2a8319fe957bafc2",-1.9351140407655132E-5,"2022-09-27 12:28:41"
"0xbc4b13f646dad875ec4fb581ca899e6a3e812679",-1.9395055413737445E-5,"2022-09-27 12:29:57"
"0x4f8d777245ba00dfb7492e81866071eeac4d45a9",3.939700525960635E-5,"2022-09-27 10:38:14"
"0x374cb27a8753520bb153906a0a34cc823cea3c3e",4.027499375508048E-5,"2022-09-27 10:43:14"
"0xaf10938052e4cb71dcd7c0ece0294c42139c93d8",5.450051443342227E-5,"2022-09-27 10:44:15"
"0x7ac694007f853cfc1b549b150e8c2245d086b889",-3.8872418917116765E-5,"2022-09-27 11:00:04"
