"Column_1","Column_2","Column_3"
-190.90860353007017,"2022-10-07 20:04:57","2022-10-07 20:04:57"
-190.90873578350767,"2022-10-07 20:05:12","2022-10-07 20:05:12"
-190.90900029038264,"2022-10-07 20:05:42","2022-10-07 20:05:42"
-190.90939693010128,"2022-10-07 20:06:27","2022-10-07 20:06:27"
-190.9096614131876,"2022-10-07 20:06:57","2022-10-07 20:06:57"
-190.90979365473075,"2022-10-07 20:07:12","2022-10-07 20:07:12"
-190.9100578222626,"2022-10-07 20:07:42","2022-10-07 20:07:42"
-190.9101899060285,"2022-10-07 20:07:57","2022-10-07 20:07:57"
-190.91046290369295,"2022-10-07 20:08:28","2022-10-07 20:08:28"
-190.9127561923681,"2022-10-07 20:12:48","2022-10-07 20:12:48"
-190.91289731782504,"2022-10-07 20:13:04","2022-10-07 20:13:04"
-190.9132942129386,"2022-10-07 20:13:49","2022-10-07 20:13:49"
-190.91356730302266,"2022-10-07 20:14:20","2022-10-07 20:14:20"
-190.91506481759862,"2022-10-07 20:17:10","2022-10-07 20:17:10"
-190.91519735230116,"2022-10-07 20:17:25","2022-10-07 20:17:25"
-190.91546240439908,"2022-10-07 20:17:55","2022-10-07 20:17:55"
-190.91586030426743,"2022-10-07 20:18:40","2022-10-07 20:18:40"
-190.9162671142967,"2022-10-07 20:19:26","2022-10-07 20:19:26"
-190.9170807343552,"2022-10-07 20:20:58","2022-10-07 20:20:58"
-190.91777725226433,"2022-10-07 20:22:17","2022-10-07 20:22:17"
-190.9179094945395,"2022-10-07 20:22:32","2022-10-07 20:22:32"
-190.9183061804311,"2022-10-07 20:23:17","2022-10-07 20:23:17"
-190.91843840906165,"2022-10-07 20:23:32","2022-10-07 20:23:32"
-190.91857946507653,"2022-10-07 20:23:48","2022-10-07 20:23:48"
-190.919928197108,"2022-10-07 20:26:21","2022-10-07 20:26:21"
-190.92058934026068,"2022-10-07 20:27:36","2022-10-07 20:27:36"
-190.92153257115848,"2022-10-07 20:29:23","2022-10-07 20:29:23"
-190.92166481343364,"2022-10-07 20:29:38","2022-10-07 20:29:38"
-190.92206154025908,"2022-10-07 20:30:23","2022-10-07 20:30:23"
-190.92232600935205,"2022-10-07 20:30:53","2022-10-07 20:30:53"
-190.92391094843492,"2022-10-07 20:33:54","2022-10-07 20:33:54"
-190.92616748201465,"2022-10-07 20:38:10","2022-10-07 20:38:10"
-190.92764833217635,"2022-10-07 20:40:58","2022-10-07 20:40:58"
-190.92778055883863,"2022-10-07 20:41:13","2022-10-07 20:41:13"
-190.92791277760307,"2022-10-07 20:41:28","2022-10-07 20:41:28"
-190.92914191326008,"2022-10-07 20:43:47","2022-10-07 20:43:47"
-190.931007723502,"2022-10-07 20:47:18","2022-10-07 20:47:18"
-190.9312906899842,"2022-10-07 20:47:50","2022-10-07 20:47:50"
-190.93301501698502,"2022-10-07 20:51:05","2022-10-07 20:51:05"
-190.934367950478,"2022-10-07 20:53:38","2022-10-07 20:53:38"
-190.93477471479613,"2022-10-07 20:54:24","2022-10-07 20:54:24"
-190.934907347277,"2022-10-07 20:54:39","2022-10-07 20:54:39"
-190.9353052688926,"2022-10-07 20:55:24","2022-10-07 20:55:24"
-190.93707380940626,"2022-10-07 20:58:44","2022-10-07 20:58:44"
-190.9382941023607,"2022-10-07 21:01:02","2022-10-07 21:01:02"
-190.93964090800546,"2022-10-07 21:03:34","2022-10-07 21:03:34"
-190.93992428007178,"2022-10-07 21:04:06","2022-10-07 21:04:06"
-190.94005711072788,"2022-10-07 21:04:21","2022-10-07 21:04:21"
-190.94045560269615,"2022-10-07 21:05:06","2022-10-07 21:05:06"
-190.94073013541498,"2022-10-07 21:05:37","2022-10-07 21:05:37"
-190.94128802417055,"2022-10-07 21:06:40","2022-10-07 21:06:40"
-190.94319193024117,"2022-10-07 21:10:15","2022-10-07 21:10:15"
-190.94467963358937,"2022-10-07 21:13:03","2022-10-07 21:13:03"
-190.94544897148424,"2022-10-07 21:14:33","2022-10-07 21:14:33"
-190.94585073682933,"2022-10-07 21:15:20","2022-10-07 21:15:20"
-190.94598824896175,"2022-10-07 21:15:36","2022-10-07 21:15:36"
-190.9461171665859,"2022-10-07 21:15:51","2022-10-07 21:15:51"
-190.94676175470667,"2022-10-07 21:17:06","2022-10-07 21:17:06"
-190.94703677897152,"2022-10-07 21:17:38","2022-10-07 21:17:38"
-190.94772433963365,"2022-10-07 21:18:58","2022-10-07 21:18:58"
-190.94825715720629,"2022-10-07 21:20:00","2022-10-07 21:20:00"
-190.9485321418033,"2022-10-07 21:20:32","2022-10-07 21:20:32"
-190.94895321196748,"2022-10-07 21:21:21","2022-10-07 21:21:21"
-190.94908189987711,"2022-10-07 21:21:36","2022-10-07 21:21:36"
-190.94921058778675,"2022-10-07 21:21:51","2022-10-07 21:21:51"
-190.94933923620863,"2022-10-07 21:22:06","2022-10-07 21:22:06"
-190.94961375185758,"2022-10-07 21:22:38","2022-10-07 21:22:38"
-190.94987111027848,"2022-10-07 21:23:08","2022-10-07 21:23:08"
-190.94999977557873,"2022-10-07 21:23:23","2022-10-07 21:23:23"
-190.95012844087898,"2022-10-07 21:23:38","2022-10-07 21:23:38"
-190.950771860171,"2022-10-07 21:24:53","2022-10-07 21:24:53"
-190.95129524009545,"2022-10-07 21:25:54","2022-10-07 21:25:54"
-190.95142392395385,"2022-10-07 21:26:09","2022-10-07 21:26:09"
-190.9532941293626,"2022-10-07 21:29:47","2022-10-07 21:29:47"
-190.9536801303027,"2022-10-07 21:30:32","2022-10-07 21:30:32"
-190.95855378160482,"2022-10-07 21:40:02","2022-10-07 21:40:02"
-190.9590753477968,"2022-10-07 21:41:03","2022-10-07 21:41:03"
-190.9593498918024,"2022-10-07 21:41:35","2022-10-07 21:41:35"
-190.95948715552547,"2022-10-07 21:41:51","2022-10-07 21:41:51"
-190.95962442768138,"2022-10-07 21:42:07","2022-10-07 21:42:07"
-190.96003621885058,"2022-10-07 21:42:55","2022-10-07 21:42:55"
-190.9617262784408,"2022-10-07 21:46:12","2022-10-07 21:46:12"
-190.96237828112535,"2022-10-07 21:47:28","2022-10-07 21:47:28"
-190.96250697362723,"2022-10-07 21:47:43","2022-10-07 21:47:43"
-190.9626356583676,"2022-10-07 21:47:58","2022-10-07 21:47:58"
-190.96355360951557,"2022-10-07 21:49:45","2022-10-07 21:49:45"
-190.9671689631636,"2022-10-07 21:56:45","2022-10-07 21:56:45"
-190.96769405024105,"2022-10-07 21:57:46","2022-10-07 21:57:46"
-190.96784039700395,"2022-10-07 21:58:03","2022-10-07 21:58:03"
-190.96809863655025,"2022-10-07 21:58:33","2022-10-07 21:58:33"
-190.96823636430827,"2022-10-07 21:58:49","2022-10-07 21:58:49"
