DateHuman,price,dateUnix
2022-10-12 16:03:32,1300.56303839,1665583412
2022-10-12 16:03:33,1300.56303839,1665583413
2022-10-12 16:03:34,1300.56303839,1665583414
2022-10-12 16:03:35,1300.56303839,1665583415
2022-10-12 16:03:36,1300.56303839,1665583416
2022-10-12 16:03:37,1300.56303839,1665583417
2022-10-12 16:03:38,1300.56303839,1665583418
2022-10-12 16:03:39,1300.56303839,1665583419
2022-10-12 16:03:40,1300.56303839,1665583420
2022-10-12 16:03:41,1300.56303839,1665583421
2022-10-12 16:03:42,1300.56303839,1665583422
2022-10-12 16:03:43,1300.56303839,1665583423
2022-10-12 16:03:44,1300.56303839,1665583424
2022-10-12 16:03:45,1300.56303839,1665583425
2022-10-12 16:03:46,1300.56303839,1665583426
2022-10-12 16:03:47,1300.56303839,1665583427
2022-10-12 16:03:48,1300.56303839,1665583428
2022-10-12 16:03:49,1300.56303839,1665583429
2022-10-12 16:03:50,1300.56303839,1665583430
2022-10-12 16:03:51,1300.56303839,1665583431
2022-10-12 16:03:52,1300.56303839,1665583432
2022-10-12 16:03:53,1300.56303839,1665583433
2022-10-12 16:03:54,1300.56303839,1665583434
2022-10-12 16:03:55,1300.56303839,1665583435
2022-10-12 16:03:56,1300.56303839,1665583436
2022-10-12 16:03:57,1300.56303839,1665583437
2022-10-12 16:03:58,1300.56303839,1665583438
2022-10-12 16:03:59,1300.56303839,1665583439
2022-10-12 16:04:00,1300.56303839,1665583440
2022-10-12 16:04:01,1300.56303839,1665583441
2022-10-12 16:04:02,1300.56303839,1665583442
2022-10-12 16:04:03,1300.56303839,1665583443
2022-10-12 16:04:04,1300.56303839,1665583444
2022-10-12 16:04:05,1300.56303839,1665583445
2022-10-12 16:04:06,1300.56303839,1665583446
2022-10-12 16:04:07,1300.56303839,1665583447
2022-10-12 16:04:08,1300.56303839,1665583448
2022-10-12 16:04:09,1300.56303839,1665583449
2022-10-12 16:04:10,1300.56303839,1665583450
2022-10-12 16:04:11,1300.56303839,1665583451
2022-10-12 16:04:12,1300.56303839,1665583452
2022-10-12 16:04:13,1300.56303839,1665583453
2022-10-12 16:04:14,1300.56303839,1665583454
2022-10-12 16:04:15,1300.56303839,1665583455
2022-10-12 16:04:16,1300.56303839,1665583456
2022-10-12 16:04:17,1300.56303839,1665583457
2022-10-12 16:04:18,1300.56303839,1665583458
2022-10-12 16:04:19,1300.56303839,1665583459
2022-10-12 16:04:20,1300.56303839,1665583460
2022-10-12 16:04:21,1300.56303839,1665583461
2022-10-12 16:04:22,1300.56303839,1665583462
2022-10-12 16:04:23,1300.56303839,1665583463
2022-10-12 16:04:24,1300.56303839,1665583464
2022-10-12 16:04:25,1300.56303839,1665583465
2022-10-12 16:04:26,1300.56303839,1665583466
